id,name,entity_type,area,sector,latitude,longitude,ownership_or_status,priority,recommended_ambulance_count,nearest_or_reference_hospital,coverage_areas,deployment_rationale,data_note,source_url
H001,Rajiv Gandhi Government General Hospital,Hospital,Park Town,Central,13.0810,80.2774,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H002,Government Stanley Medical College Hospital,Hospital,Royapuram,North,13.1068,80.2865,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H003,Government Kilpauk Medical College Hospital,Hospital,Kilpauk,Central-West,13.0783,80.2426,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H004,Government Royapettah Hospital,Hospital,Royapettah,Central-South,13.0545,80.2635,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H005,Government Omandurar Medical College Hospital,Hospital,Anna Salai,Central,13.0697,80.2747,Government,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H006,Institute of Child Health and Hospital for Children,Hospital,Egmore,Central,13.0735,80.2607,Government,Medium,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennaicorporation.gov.in/gcc/covid-vaccine/govt-hospital/
H007,Apollo Hospitals Greams Road,Hospital,Thousand Lights,Central,13.0444,80.2496,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H008,Fortis Malar Hospital,Hospital,Adyar,South-Central,13.0067,80.2565,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H009,MIOT International,Hospital,Manapakkam,West-South,13.0215,80.1789,Private,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
H010,Sri Ramachandra Medical Centre,Hospital,Porur,West,13.0387,80.1407,Private/Teaching,High,,,,Hospital marker; coordinates are approximate planning coordinates.,Approximate locality/hospital-vicinity coordinates for project mapping; verify before production use.,https://chennai.nic.in/public-utility-category/hospitals/
